"P1","P2","P3","P4","Hypothesis","GoldLabel"
"a young girl pose for a photo.","A woman pose for a photo.","a young girl sit close .","A woman sit close.","Two people hid in the dark.","contradiction"
"family sit on lawn chairs next to a fire at night.","Friends sit on lawn chairs next to a fire at night.","family relax .","Friends relax .","Friends and family sit inside watching a football game.","contradiction"
"Three men involving hurdles.","Three men are running in a field race.","a track race involving hurdles.","Three men are running in a track race.","Three woman are at a bar dancing.","contradiction"
"A man in jeans holds converses with a passerby.","A man in jeans holds a black acoustic guitar with a passerby.","A man in a black sweatshirt holds converses with a passerby.","A man in a black sweatshirt holds a black acoustic guitar with a passerby.","The man is a busker.","neutral"
"a young boy are sitting on a reading.","a young boy are sitting on a flowered couch.","A woman are sitting on a reading.","A woman are sitting on a flowered couch.","There are two boys sitting on a couch.","contradiction"
"black pants walking behind a female with a brown leather purse , floral skirt , leather boots , smiling broadly.","gray hoodie shirt walking behind a female with a brown leather purse , floral skirt , leather boots , smiling broadly.","black bookbag walking behind a female with a brown leather purse , floral skirt , leather boots , smiling broadly.","Young man in glasses walking behind a female with a brown leather purse , floral skirt , leather boots , smiling broadly.","The man is walking home.","neutral"
"Three african american women are dressed in brown headscarves.","Three african american women are dressed in bright orange headscarves.","Three african american women are dressed in brown dresses.","Three african american women are dressed in bright orange dresses.","The three women are naked.","contradiction"
"An Asian man in sandals is at a high altitude.","An Asian man in glasses is at a high altitude.","a high altitude aiming a gun.","An Asian man in a jacket is at a high altitude.","An Asian man is dressed up so someone can take photos of him.","neutral"
"women in denim pants walk uphill.","women in cotton shirts walk uphill.","Eleven men in denim pants walk uphill along a shaded forest trail.","Eleven men in cotton shirts walk uphill.","A group of people walk uphill.","entailment"
"Standing at a podium in front of old gentleman uses a screen to communicate to other men in the audience.","Standing at a podium in front of old gentleman uses a screen to communicate to other men at a table.","Standing at a podium in front of a colorful mural uses a screen to communicate to other men in the audience.","Standing at a podium in front of a colorful mural uses a screen to communicate to other men at a table.","A head coach of a team talks to reporters in the audience.","neutral"
"a red hat stands on top of a mountain with clouds in the distance.","a red hat stands on top of a mountain with more mountains in the distance.","A person in a black jacket stands on top of a mountain with clouds in the distance.","A person in a black jacket stands on top of a mountain with more mountains in the distance.","A person just reached the peak of a mountain.","neutral"
"an older man with a brown jacket to be doing a repair job.","an older man with a brown jacket seem .","an older man with a brown hat to be doing a repair job.","an older man with a brown hat seem .","The man is wearing a red cap.","contradiction"
"another woman in a black top is looking down at a little boy with a striped blue shirt.","another woman in a black top is looking down at a little boy with a striped white shirt.","another woman in a black top is looking down at a little boy with a blue hat.","A woman in a gray t - shirt is looking at a cellphone in her hand.","Some women are running errands.","neutral"
"An old bearded man with a gray suit jacket plays harmonica.","An old bearded man with a gray suit jacket plays an acoustic guitar.","An old bearded man with a black top hat plays harmonica.","An old bearded man with a black top hat plays an acoustic guitar.","The man is singing the blues.","neutral"
